  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    6 ?        S      0:00 [kworker/u2:0]
    7 ?        S      0:00 [rcu_sched]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:00 [migration/0]
   10 ?        S      0:00 [watchdog/0]
   11 ?        S<     0:00 [khelper]
   12 ?        S      0:00 [kdevtmpfs]
   13 ?        S<     0:00 [netns]
   14 ?        S<     0:00 [perf]
   15 ?        S      0:00 [khungtaskd]
   16 ?        S<     0:00 [writeback]
   17 ?        SN     0:00 [ksmd]
   18 ?        SN     0:00 [khugepaged]
   19 ?        S<     0:00 [crypto]
   20 ?        S<     0:00 [kintegrityd]
   21 ?        S<     0:00 [bioset]
   22 ?        S<     0:00 [kblockd]
   23 ?        S<     0:00 [ata_sff]
   24 ?        S<     0:00 [md]
   25 ?        S<     0:00 [devfreq_wq]
   27 ?        S      0:01 [kworker/0:1]
   29 ?        S      0:00 [kswapd0]
   30 ?        S<     0:00 [vmstat]
   31 ?        S      0:00 [fsnotify_mark]
   32 ?        S      0:00 [ecryptfs-kthrea]
   43 ?        S<     0:00 [kthrotld]
   44 ?        S<     0:00 [acpi_thermal_pm]
   48 ?        S      0:00 [kworker/0:2]
   49 ?        S      0:00 [scsi_eh_0]
   50 ?        S<     0:00 [scsi_tmf_0]
   51 ?        S      0:00 [scsi_eh_1]
   52 ?        S<     0:00 [scsi_tmf_1]
   53 ?        S<     0:00 [ipv6_addrconf]
   72 ?        S<     0:00 [deferwq]
   73 ?        S<     0:00 [charger_manager]
  119 ?        S<     0:00 [kworker/0:1H]
  120 ?        S<     0:00 [kpsmoused]
  122 ?        S      0:00 [scsi_eh_2]
  123 ?        S<     0:00 [scsi_tmf_2]
  132 ?        S      0:00 [jbd2/sda1-8]
  133 ?        S<     0:00 [ext4-rsv-conver]
  257 ?        S      0:00 upstart-udev-bridge --daemon
  271 ?        Ss     0:00 /lib/systemd/systemd-udevd --daemon
  357 ?        S      0:00 upstart-file-bridge --daemon
  371 ?        Ssl    0:00 rsyslogd
  385 ?        S<     0:00 [iprt-VBoxWQueue]
  482 ?        Ss     0:00 dbus-daemon --system --fork
  532 ?        Ss     0:00 /usr/sbin/bluetoothd
  536 ?        S      0:00 upstart-socket-bridge --daemon
  562 ?        Ss     0:00 /lib/systemd/systemd-logind
  571 ?        S      0:00 avahi-daemon: running [cyberpatriot.local]
  573 ?        S      0:00 avahi-daemon: chroot helper
  580 ?        S<     0:00 [krfcommd]
  620 ?        Ssl    0:00 /usr/sbin/ModemManager
  776 ?        Ssl    0:00 NetworkManager
  797 ?        Sl     0:00 /usr/lib/policykit-1/polkitd --no-debug
  803 ?        S      0:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-357bfc57-3852-4ecb-9767-4b0b7a5e485d-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
